,,correct_answer_index,article_type
"Immigration vote shows strength of deal, pitfalls ahead",Immigration reform clears key Senate hurdle,0,domestic
"Lackluster Obama: Change Is Hard, Give Me More Time",Obama DNC speech: Ã¢â‚¬ËœYou are the changeÃ¢â‚¬â„¢,0,domestic
"The good, bad and ugly of warmer US-Russia relations",Top intel office not on same page as CIA regarding Russia hack assessment,1,domestic
"President Obama, Please Come to Flint",Bernie Sanders Calls for Resignation of Michigan Governor Following Lead-Poisoning Crisis,1,domestic
Tea Party Favorite Matt Bevin Elected Governor of Kentucky,"From coast to coast, conservatives score huge victories in off-year elections",0,domestic
Sandy-Fueled Superstorm Is October Surprise in Presidential Race,Sandy introduces big unknown into campaign,0,domestic
Trump says longstanding legal practice of flipping 'almost ought to be illegal',"Trump rips Cohen for 'flipping,' praises Manafort in exclusive FNC interview",1,domestic
"Trump, May pledge cooperation on trade after explosive interview",President Trump praises British Prime Minister May one day after report criticizing her approach to Brexit,0,domestic
Trump’s baffling attacks on McConnell could be costly to the president,"Sean Hannity: If McConnell can't lead, he should go fishing – or just go away",1,domestic
Treasury officials told of IRS probe in June 2012,Jack Lew learned of IRS probe in March,0,domestic
3 American Doctors Killed by Guard at Afghan Hospital,Three American Doctors Killed in Afghan Hospital Attack,1,international
White House threat assessment: Climate change as dangerous as terrororism,Obama's National Security Strategy Lists Climate Change Among 'Top Strategic Risks' To U.S.,0,international
Israel's Justice Minister Tells Off UN,"U.N. shelter in Gaza hit, 16 dead",0,international
"DHS begs for help, orders full review after second migrant child's death","The final days of Felipe Alonzo-Gomez, the 8-year-old migrant who died in US custody",0,international
Hurricane Dorian Live Updates: System Strengthens to Category 1 Storm,Florida in crosshairs for 'powerful' Hurricane Dorian after system batters Puerto Rico and Virgin Islands,1,international
Death of Saudi King Abdullah brings uncertain new era for US in Middle East,OPINION: Saudi Arabia’s coming struggle,0,international
"Clinton headed to Jerusalem, Ramallah and Cairo to seek end to Israel/Gaza fighting",Egypt says Israel will halt 'aggression' within hours,0,international
Jeremy Scahill On U.S. Media Coverage Of Israel-Gaza Conflict: 'We've Hit All-Time Lows',Israel's Justice Minister Tells Off UN,1,international
A Problem Like Keith Ellison,The Smear Campaign Against Keith Ellison is Repugnant but Reveals Much About Washington,0,international
"Abu Sayyaf, an ISIS Leader, Killed in Syria by Special Forces, U.S. Says",US commandos kill senior IS leader in Syria raid,1,international
